BaldwinB,BaldwinG,BaldwinR,NovaB,NovaG,NovaR,VansB,VansG,VansR,number,ppm
241,253,235,241,244,242,255,255,247,1,30
232,243,223,229,232,230,245,255,236,2,30
230,242,222,231,232,230,249,255,238,3,30
242,254,236,241,244,242,255,255,247,4,30
220,232,210,218,219,217,240,252,230,5,30
232,244,224,230,233,231,245,254,234,6,30
242,254,232,241,244,242,253,254,244,7,30
236,248,230,233,236,234,255,255,247,8,30
237,249,231,231,234,232,249,255,243,9,30
241,253,235,238,237,241,252,251,241,1,40
229,241,221,226,228,229,242,249,228,2,40
236,248,230,236,235,239,253,254,244,3,40
241,253,235,239,241,242,253,254,244,4,40
222,235,213,218,217,221,239,246,225,5,40
235,247,227,230,229,233,250,253,237,6,40
240,252,232,239,241,242,254,254,240,7,40
236,248,230,231,232,236,253,255,241,8,40
233,247,229,232,233,237,250,253,238,9,40
